Character Name,Line ID,Path,Ch Name Diff,Character ID,Character Name (copy),Main Character,Name in Caps,Relation,Relation - Negative,Relation - Negative (copy 2),Relation - Neutral,Relation - Neutral (copy),Relation - Positive,Relation - Positive (copy 2),Relation Sentiment,Relationship,Set ID,Synergy Type,URL,1,Number of Records,S.No.,X,Y
Abomination,1,1,,1,Abomination,Abomination,ABOMINATION,Friends,,,,,,Friends,Positive,,1,Reciprocal,,1,1,1,6581.620117,2663.285156
Rhino,1,2,Rhino,83,Rhino,Abomination,RHINO,Friends,,,,,Friends,Friends,Positive,Relationship with Abomination - ,1,Reciprocal,,1,1,2,7942.243652,9485.032227
Abomination,2,1,,1,Abomination,Abomination,ABOMINATION,Nemesis,,Nemesis,,,,,Negative,,1,Perfect,,1,1,3,6581.620117,2663.285156
Hulk,2,2,Hulk,45,Hulk,Abomination,HULK,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Abomination - ,1,Perfect,,1,1,4,4651.433594,5910.624023
Abomination,3,1,,1,Abomination,Abomination,ABOMINATION,Enemies,,Enemies,,,,,Negative,,1,Normal,,1,1,5,6581.620117,2663.285156
She-Hulk,3,2,She-Hulk,90,She-Hulk,Abomination,SHE-HULK,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Abomination - ,1,Normal,,1,1,6,3164.240479,9648.719727
Abomination,4,1,,1,Abomination,Abomination,ABOMINATION,Enemies,,Enemies,,,,,Negative,,1,Reciprocal,,1,1,7,6581.620117,2663.285156
Red Hulk,4,2,Red Hulk,82,Red Hulk,Abomination,RED HULK,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Abomination - ,1,Reciprocal,,1,1,8,5410.851074,537.3294678
Abomination,5,1,,1,Abomination,Abomination,ABOMINATION,Friends,,,,,,Friends,Positive,,1,Normal,,1,1,9,6581.620117,2663.285156
King Groot,5,2,King Groot,59,King Groot,Abomination,KING GROOT,Friends,,,,,Friends,Friends,Positive,Relationship with Abomination - ,1,Normal,,1,1,10,7784.031738,2055.869141
Abomination,6,1,,1,Abomination,Abomination,ABOMINATION,Cubical Mates,,,,Cubical Mates,,,Neutral,,1,Normal,,1,1,11,6581.620117,2663.285156
M.O.D.O.K.,6,2,M.O.D.O.K.,63,M.O.D.O.K.,Abomination,M.O.D.O.K.,Cubical Mates,,,Cubical Mates,Cubical Mates,,,Neutral,Relationship with Abomination - ,1,Normal,,1,1,12,5980.414551,537.3294678
Abomination,7,1,,1,Abomination,Abomination,ABOMINATION,Enemies,,Enemies,,,,,Negative,,1,Normal,,1,1,13,6581.620117,2663.285156
Mordo,7,2,Mordo,70,Mordo,Abomination,MORDO,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Abomination - ,1,Normal,,1,1,14,7167.004883,8176.752441
Agent Venom,8,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Family,,,,,,Family,Positive,,2,Normal,,1,1,15,3876.19458,8527.18457
Carnage,8,2,Carnage,16,Carnage,Agent Venom,CARNAGE,Family,,,,,Family,Family,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,16,4066.049072,4835.964844
